,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,,,,,,Total Population,,,,,Hispanic/Latino (of any race),,,,,White non-Hispanic,,,,,Black non-Hispanic,,,,,Asian non-Hispanic,,,,
Orig Order,GeoType,Borough,GeoID,Name,NTA Type,Pop_10,Pop_20,Pop Change,Natural Change,Net Migration,Hsp_10,Hsp_20,Pop Change,Natural Change,Net Migration,WNH_10,WNH_20,Pop Change,Natural Change,Net Migration,BNH_10,BNH_20,Pop Change,Natural Change,Net Migration,ANH_10,ANH_20,Pop Change,Natural Change,Net Migration
223,NTA2020,Queens,QN1202,South Jamaica,0,"36,938","44,401","7,463","3,209","4,254","5,749","8,039","2,290",976,"1,314",352,514,162,46,116,"26,449","23,161","-3,288","1,250","-4,538","1,964","7,240","5,276",862,"4,414"
224,NTA2020,Queens,QN1203,Baisley Park,0,"37,699","43,090","5,391","2,643","2,748","4,107","6,074","1,967",657,"1,310",307,611,304,93,211,"29,332","25,894","-3,438","1,120","-4,558","1,619","3,804","2,185",684,"1,501"
225,NTA2020,Queens,QN1204,Springfield Gardens (North)-Rochdale Village,0,"28,537","32,883","4,346","1,203","3,143","1,972","2,985","1,013",292,721,215,353,138,41,97,"25,320","26,651","1,331",740,591,235,699,464,98,366
226,NTA2020,Queens,QN1205,St. Albans,0,"47,831","51,816","3,985","1,635","2,350","3,004","4,882","1,878",380,"1,498",494,617,123,-94,217,"42,382","40,664","-1,718","1,120","-2,838",511,"1,764","1,253",218,"1,035"
227,NTA2020,Queens,QN1206,Hollis,0,"22,349","24,576","2,227","1,400",827,"3,268","3,671",403,371,32,604,658,54,-95,149,"12,281","11,062","-1,219",488,"-1,707","3,458","5,426","1,968",611,"1,357"
228,NTA2020,Queens,QN1301,Glen Oaks-Floral Park-New Hyde Park,0,"22,571","23,364",793,-759,"1,552","2,082","2,551",469,166,303,"10,914","8,334","-2,580","-1,793",-787,"1,034","1,161",127,18,109,"7,576","10,190","2,614",849,"1,765"
229,NTA2020,Queens,QN1302,Bellerose,0,"25,287","26,566","1,279","1,040",239,"4,078","4,406",328,359,-31,"7,974","5,430","-2,544",-733,"-1,811","1,882","2,144",262,103,159,"9,821","12,942","3,121","1,295","1,826"
230,NTA2020,Queens,QN1303,Queens Village,0,"52,734","54,345","1,611","2,909","-1,298","9,811","9,585",-226,767,-993,"3,385","2,456",-929,-311,-618,"25,484","22,922","-2,562","1,063","-3,625","9,026","12,071","3,045","1,322","1,723"
231,NTA2020,Queens,QN1304,Cambria Heights,0,"18,677","19,081",404,356,48,964,"1,304",340,75,265,259,272,13,5,8,"16,862","16,121",-741,249,-990,157,259,102,46,56
232,NTA2020,Queens,QN1305,Laurelton,0,"24,453","26,088","1,635",794,841,"1,340","1,939",599,112,487,358,350,-8,-19,11,"22,021","21,842",-179,627,-806,167,234,67,62,5
233,NTA2020,Queens,QN1306,Springfield Gardens (South)-Brookville,0,"20,170","23,103","2,933","1,611","1,322","1,738","2,261",523,247,276,397,429,32,25,7,"17,056","18,164","1,108","1,195",-87,385,613,228,115,113
234,NTA2020,Queens,QN1307,Rosedale,0,"25,025","27,101","2,076","1,834",242,"2,342","2,923",581,242,339,"1,334",930,-404,-150,-254,"19,995","20,706",711,"1,604",-893,556,639,83,97,-14
235,NTA2020,Queens,QN1371,Montefiore Cemetery,7,1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0,0,0,0
236,NTA2020,Queens,QN1401,Far Rockaway-Bayswater,0,"53,861","58,648","4,787","4,687",100,"13,442","15,593","2,151","1,939",212,"13,100","13,758",658,"1,373",-715,"24,515","24,218",-297,"1,336","-1,633","1,017","1,401",384,141,243
237,NTA2020,Queens,QN1402,Rockaway Beach-Arverne-Edgemere,0,"36,462","41,367","4,905","1,788","3,117","8,716","10,471","1,755",883,872,"6,171","6,824",653,-503,"1,156","19,325","19,712",387,"1,283",-896,"1,111","1,756",645,160,485
238,NTA2020,Queens,QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,0,"24,638","24,134",-504,-857,353,"1,940","2,521",581,155,426,"21,175","19,590","-1,585",-886,-699,823,936,113,-118,231,427,396,-31,36,-67
239,NTA2020,Queens,QN1491,Rockaway Community Park,9,0,12,12,-1,13,0,7,7,1,6,0,0,0,-1,1,0,1,1,-1,2,0,0,0,0,0
240,NTA2020,Queens,QN8081,LaGuardia Airport,8,0,0,0,-1,1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,NTA2020,Queens,QN8191,Flushing Meadows-Corona Park,9,56,44,-12,-40,28,20,17,-3,-4,1,14,3,-11,-14,3,16,13,-3,-11,8,6,3,-3,1,-4
242,NTA2020,Queens,QN8291,Forest Park,9,113,4,-109,4,-113,19,3,-16,4,-20,85,1,-84,0,-84,0,0,0,0,0,9,0,-9,0,-9
243,NTA2020,Queens,QN8381,John F. Kennedy International Airport,8,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
244,NTA2020,Queens,QN8491,Jamaica Bay (East),9,0,0,0,4,-4,0,0,0,2,-2,0,0,0,1,-1,0,0,0,1,-1,0,0,0,0,0
245,NTA2020,Queens,QN8492,Jacob Riis Park-Fort Tilden-Breezy Point Tip,9,17,24,7,-7,14,4,1,-3,-1,-2,13,17,4,-4,8,0,5,5,-2,7,0,0,0,0,0
246,NTA2020,Staten Island,SI0101,St. George-New Brighton,0,"18,774","20,549","1,775","1,077",698,"5,744","7,049","1,305",741,564,"4,754","4,394",-360,-240,-120,"6,622","6,561",-61,463,-524,967,"1,471",504,92,412
247,NTA2020,Staten Island,SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,0,"16,192","19,027","2,835","1,150","1,685","6,211","7,363","1,152",971,181,"3,035","3,006",-29,-352,323,"5,452","6,031",579,433,146,"1,061","1,828",767,104,663
248,NTA2020,Staten Island,SI0103,Rosebank-Shore Acres-Park Hill,0,"23,259","25,510","2,251","1,875",376,"5,549","6,539",990,718,272,"8,161","6,988","-1,173",19,"-1,192","5,651","5,553",-98,727,-825,"3,415","5,627","2,212",381,"1,831"
249,NTA2020,Staten Island,SI0104,West New Brighton-Silver Lake-Grymes Hill,0,"35,484","37,010","1,526","1,663",-137,"7,987","9,771","1,784","1,122",662,"18,653","16,673","-1,980",-266,"-1,714","5,888","6,116",228,566,-338,"2,126","2,975",849,227,622
250,NTA2020,Staten Island,SI0105,Westerleigh-Castleton Corners,0,"29,816","31,458","1,642",676,966,"3,863","5,231","1,368",478,890,"22,605","20,885","-1,720",-107,"-1,613",722,855,133,51,82,"2,060","3,505","1,445",234,"1,211"
251,NTA2020,Staten Island,SI0106,Port Richmond,0,"20,754","22,609","1,855","1,906",-51,"9,657","11,091","1,434","1,572",-138,"4,904","3,989",-915,-143,-772,"4,830","5,124",294,324,-30,784,"1,567",783,118,665
252,NTA2020,Staten Island,SI0107,Mariner's Harbor-Arlington-Graniteville,0,"31,474","33,492","2,018","2,516",-498,"11,042","11,910",868,"1,370",-502,"7,412","6,618",-794,-96,-698,"9,455","9,853",398,894,-496,"2,698","3,659",961,292,669
253,NTA2020,Staten Island,SI0191,Snug Harbor,9,3,8,5,0,5,2,1,-1,0,-1,1,7,6,0,6,0,0,0,0,0,0,0,0,0,0
254,NTA2020,Staten Island,SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,0,"34,425","36,259","1,834",718,"1,116","5,400","6,039",639,595,44,"23,827","20,914","-2,913",-453,"-2,460","1,412","1,828",416,158,258,"3,109","6,499","3,390",379,"3,011"
255,NTA2020,Staten Island,SI0202,New Dorp-Midland Beach,0,"27,623","29,083","1,460",874,586,"3,669","4,221",552,446,106,"21,665","19,149","-2,516",141,"-2,657",307,432,125,45,80,"1,615","4,507","2,892",217,"2,675"
256,NTA2020,Staten Island,SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,0,"30,851","32,822","1,971",-273,"2,244","3,087","3,420",333,179,154,"20,602","20,597",-5,-819,814,"1,297","1,348",51,-17,68,"5,191","6,486","1,295",365,930
257,NTA2020,Staten Island,SI0204,New Springville-Willowbrook-Bulls Head-Travis,0,"39,310","42,871","3,561","1,571","1,990","5,282","6,537","1,255",629,626,"27,414","25,502","-1,912",393,"-2,305",936,"1,295",359,58,301,"5,049","8,401","3,352",452,"2,900"
258,NTA2020,Staten Island,SI0291,Freshkills Park (North),9,53,15,-38,0,-38,16,6,-10,0,-10,33,4,-29,0,-29,0,3,3,0,3,4,0,-4,0,-4
259,NTA2020,Staten Island,SI0301,Oakwood-Richmondtown,0,"22,049","22,388",339,-30,369,"2,209","2,523",314,169,145,"18,416","16,322","-2,094",-398,"-1,696",282,581,299,45,254,905,"2,366","1,461",148,"1,313"
260,NTA2020,Staten Island,SI0302,Great Kills-Eltingville,0,"52,868","54,699","1,831",674,"1,157","4,096","5,571","1,475",385,"1,090","46,248","43,582","-2,666",38,"-2,704",224,316,92,41,51,"1,763","4,076","2,313",184,"2,129"
261,NTA2020,Staten Island,SI0303,Arden Heights-Rossville,0,"29,916","30,683",767,"1,510",-743,"3,004","3,945",941,317,624,"24,185","22,611","-1,574",998,"-2,572",404,457,53,21,32,"1,988","2,934",946,148,798
262,NTA2020,Staten Island,SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,0,"38,160","40,534","2,374","1,375",999,"2,469","3,655","1,186",273,913,"33,599","33,263",-336,942,"-1,278",224,299,75,15,60,"1,518","2,372",854,121,733
263,NTA2020,Staten Island,SI0305,Tottenville-Charleston,0,"16,860","16,089",-771,412,"-1,183","1,553","1,891",338,172,166,"14,142","13,186",-956,203,"-1,159",532,136,-396,-6,-390,423,439,16,23,-7
264,NTA2020,Staten Island,SI0391,Freshkills Park (South),9,97,95,-2,9,-11,44,35,-9,2,-11,38,31,-7,6,-13,0,2,2,1,1,15,19,4,0,4
265,NTA2020,Staten Island,SI9561,Fort Wadsworth,6,731,495,-236,120,-356,157,154,-3,29,-32,463,238,-225,72,-297,68,40,-28,6,-34,6,15,9,5,4
266,NTA2020,Staten Island,SI9591,Hoffman & Swinburne Islands,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,NTA2020,Staten Island,SI9592,Miller Field,9,31,46,15,-1,16,10,8,-2,0,-2,12,19,7,0,7,7,5,-2,-1,-1,0,7,7,0,7
268,NTA2020,Staten Island,SI9593,Great Kills Park,9,0,5,5,0,5,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0
