,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,,,,,,Total Population,,,,,Hispanic/Latino (of any race),,,,,White non-Hispanic,,,,,Black non-Hispanic,,,,,Asian non-Hispanic,,,,
Orig Order,GeoType,Borough,GeoID,Name,NTA Type,Pop_10,Pop_20,Pop Change,Natural Change,Net Migration,Hsp_10,Hsp_20,Pop Change,Natural Change,Net Migration,WNH_10,WNH_20,Pop Change,Natural Change,Net Migration,BNH_10,BNH_20,Pop Change,Natural Change,Net Migration,ANH_10,ANH_20,Pop Change,Natural Change,Net Migration
45,NTA2020,Brooklyn,BK1201,Sunset Park (East)-Borough Park (West),0,"33,397","35,632","2,235","7,936","-5,701","7,564","7,533",-31,"1,088","-1,119","8,140","6,959","-1,181",913,"-2,094",657,641,-16,51,-67,"16,471","19,480","3,009","5,871","-2,862"
46,NTA2020,Brooklyn,BK1202,Borough Park,0,"84,270","93,905","9,635","25,982","-16,347","7,819","8,077",258,"1,188",-930,"68,987","70,239","1,252","23,284","-22,032",480,804,324,43,281,"6,082","8,166","2,084","1,372",712
47,NTA2020,Brooklyn,BK1203,Kensington,0,"40,472","41,758","1,286","4,463","-3,177","7,153","6,825",-328,797,"-1,125","19,463","17,370","-2,093","1,856","-3,949","2,947","2,753",-194,104,-298,"9,491","12,224","2,733","1,672","1,061"
48,NTA2020,Brooklyn,BK1204,Mapleton-Midwood (West),0,"37,441","39,137","1,696","6,034","-4,338","2,937","3,507",570,521,49,"30,549","28,474","-2,075","5,001","-7,076",304,632,328,42,286,"3,252","4,752","1,500",420,"1,080"
49,NTA2020,Brooklyn,BK1301,Gravesend (South),0,"27,400","30,366","2,966","1,108","1,858","3,764","4,626",862,382,480,"15,499","14,187","-1,312",-184,"-1,128","2,438","2,566",128,199,-71,"5,205","7,949","2,744",701,"2,043"
50,NTA2020,Brooklyn,BK1302,Coney Island-Sea Gate,0,"49,715","49,517",-198,"-1,132",934,"8,768","8,588",-180,673,-853,"26,662","24,811","-1,851","-2,688",837,"10,651","10,144",-507,608,"-1,115","2,880","4,193","1,313",277,"1,036"
51,NTA2020,Brooklyn,BK1303,Brighton Beach,0,"31,462","33,568","2,106",339,"1,767","4,947","4,541",-406,762,"-1,168","21,839","21,647",-192,"-1,147",955,340,429,89,-1,90,"3,777","5,462","1,685",720,965
52,NTA2020,Brooklyn,BK1391,Calvert Vaux Park,9,0,0,0,-2,2,0,0,0,0,0,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,0
53,NTA2020,Brooklyn,BK1401,Flatbush,0,"67,940","66,503","-1,437","6,001","-7,438","13,669","13,064",-605,"1,723","-2,328","5,425","9,752","4,327",900,"3,427","44,926","35,895","-9,031","2,874","-11,905","2,193","3,407","1,214",437,777
54,NTA2020,Brooklyn,BK1402,Flatbush (West)-Ditmas Park-Parkville,0,"42,099","43,016",917,"4,568","-3,651","7,776","7,256",-520,883,"-1,403","15,835","15,859",24,"1,728","-1,704","9,605","7,702","-1,903",413,"-2,316","7,541","9,288","1,747","1,504",243
